"Path","Width","Height","Length","LastWriteTime"
"C:\Users\chenchen.zhang\AppData\Local\Temp\seatalk_img_1778585087229","1599","1199","190321","2026/5/12 19:24:47"
"C:\Users\chenchen.zhang\AppData\Local\Temp\seatalk_img_1778584931966","1600","1200","166112","2026/5/12 19:22:11"
"C:\Users\chenchen.zhang\Documents\xwechat_files\chriszcc_0ba7\temp\RWTemp\2026-05\b7147fc1ac53ceb29535bd66d0bbbd79.jpg","1706","1279","192220","2026/5/12 19:21:43"
"C:\Users\chenchen.zhang\Documents\xwechat_files\chriszcc_0ba7\temp\RWTemp\2026-05\2d7463eccdf2168fb3cf57fdb97b64b7.jpg","4096","3072","3018060","2026/5/12 19:21:13"
"C:\Users\chenchen.zhang\AppData\Local\Temp\seatalk_img_1778584860324","4032","3024","2913510","2026/5/12 19:21:00"
"C:\Users\chenchen.zhang\AppData\Local\Temp\seatalk_img_1778584708445","1600","1200","192958","2026/5/12 19:18:28"
"C:\Users\chenchen.zhang\AppData\Local\Temp\seatalk_img_1778584645998","1600","1200","192958","2026/5/12 19:17:26"
"C:\Users\chenchen.zhang\Documents\xwechat_files\chriszcc_0ba7\temp\RWTemp\2026-05\afd85261416c8c03b423c757a16e90ca\c7bb63b21c611caebeb69f3c4b095a24.jpg","1280","1707","229657","2026/5/12 12:34:25"
"C:\Users\chenchen.zhang\Documents\xwechat_files\chriszcc_0ba7\business\favorite\temp\752adc7a09b96048acc284d348b09950.jpg","1308","845","278242","2026/5/12 12:28:32"
"C:\Users\chenchen.zhang\AppData\Local\Temp\ScreenShot_2026-05-12_122830_904.png","1308","845","177625","2026/5/12 12:28:30"
"C:\Users\chenchen.zhang\Documents\xwechat_files\chriszcc_0ba7\business\favorite\temp\0ab7ef5eb9b080f50ca4ba61080b84c8.jpg","1920","911","214514","2026/5/12 12:25:48"
"C:\Users\chenchen.zhang\AppData\Local\Temp\ScreenShot_2026-05-12_122548_637.png","1920","911","844755","2026/5/12 12:25:48"
"C:\Users\chenchen.zhang\AppData\Local\Temp\ScreenShot_2026-05-12_120047_450.png","1283","684","483382","2026/5/12 12:00:47"
"C:\Users\chenchen.zhang\Documents\xwechat_files\chriszcc_0ba7\business\favorite\temp\eef077f336332e03a858b168c86bdc41.jpg","1204","630","120224","2026/5/12 11:21:49"
"C:\Users\chenchen.zhang\AppData\Local\Temp\ScreenShot_2026-05-12_112148_744.png","1204","630","412567","2026/5/12 11:21:48"
"C:\Users\chenchen.zhang\Documents\xwechat_files\chriszcc_0ba7\business\favorite\temp\1eeb7de7f792d7f3bf228b9b1a4eb8d6.jpg","1179","664","114846","2026/5/12 11:20:42"
"C:\Users\chenchen.zhang\AppData\Local\Temp\ScreenShot_2026-05-12_112041_938.png","1179","664","550847","2026/5/12 11:20:42"
"C:\Users\chenchen.zhang\Documents\xwechat_files\chriszcc_0ba7\business\favorite\temp\2cb127371472ddbaa4ed756121c11462.jpg","1235","607","180852","2026/5/12 11:20:37"
"C:\Users\chenchen.zhang\AppData\Local\Temp\ScreenShot_2026-05-12_112037_012.png","1235","607","563092","2026/5/12 11:20:37"
"C:\Users\chenchen.zhang\AppData\Local\Temp\gng_xlsx_6129bbfb4b94459f8593d540f0543ef4\[Master Sheet] GNG Core combat FGD May 2026_unzipped\xl\media\image1.jpg","1875","2500","994315","2026/5/11 23:24:16"
"C:\Users\chenchen.zhang\AppData\Local\Temp\gng_xlsx_6129bbfb4b94459f8593d540f0543ef4\survey result_unzipped\xl\media\image1.jpg","1875","2500","994315","2026/5/11 23:24:14"
